plane	wire	sx	sy	sz	ex	ey	ez
0	0	-6.34706e-14	117.021	0.206489	-6.33987e-14	117.36	0.793511	
0	1	-6.34706e-14	116.675	0.206489	-6.33252e-14	117.36	1.39351	
0	2	-6.34706e-14	116.328	0.206489	-6.32517e-14	117.36	1.99351	
0	3	-6.34706e-14	115.982	0.206489	-6.31782e-14	117.36	2.59351	
0	4	-6.34706e-14	115.636	0.206489	-6.31048e-14	117.36	3.19351	
0	5	-6.34706e-14	115.289	0.206489	-6.30313e-14	117.36	3.79351	
0	6	-6.34706e-14	114.943	0.206489	-6.29578e-14	117.36	4.39351	
0	7	-6.34706e-14	114.596	0.206489	-6.28843e-14	117.36	4.99351	
0	8	-6.34706e-14	114.25	0.206489	-6.28109e-14	117.36	5.59351	
0	9	-6.34706e-14	113.903	0.206489	-6.27374e-14	117.36	6.19351	
0	10	-6.34706e-14	113.557	0.206489	-6.26639e-14	117.36	6.79351	
0	11	-6.34706e-14	113.211	0.206489	-6.25904e-14	117.36	7.39351	
0	12	-6.34706e-14	112.864	0.206489	-6.25169e-14	117.36	7.99351	
0	13	-6.34706e-14	112.518	0.206489	-6.24435e-14	117.36	8.59351	
0	14	-6.34706e-14	112.171	0.206489	-6.237e-14	117.36	9.19351	
0	15	-6.34706e-14	111.825	0.206489	-6.22965e-14	117.36	9.79351	
0	16	-6.34706e-14	111.479	0.206489	-6.2223e-14	117.36	10.3935	
0	17	-6.34706e-14	111.132	0.206489	-6.21496e-14	117.36	10.9935	
0	18	-6.34706e-14	110.786	0.206489	-6.20761e-14	117.36	11.5935	
0	19	-6.34706e-14	110.439	0.206489	-6.20026e-14	117.36	12.1935	
0	20	-6.34706e-14	110.093	0.206489	-6.19291e-14	117.36	12.7935	
0	21	-6.34706e-14	109.747	0.206489	-6.18557e-14	117.36	13.3935	
0	22	-6.34706e-14	109.4	0.206489	-6.17822e-14	117.36	13.9935	
0	23	-6.34706e-14	109.054	0.206489	-6.17087e-14	117.36	14.5935	
0	24	-6.34706e-14	108.707	0.206489	-6.16352e-14	117.36	15.1935	
0	25	-6.34706e-14	108.361	0.206489	-6.15618e-14	117.36	15.7935	
0	26	-6.34706e-14	108.014	0.206489	-6.14883e-14	117.36	16.3935	
0	27	-6.34706e-14	107.668	0.206489	-6.14148e-14	117.36	16.9935	
0	28	-6.34706e-14	107.322	0.206489	-6.13413e-14	117.36	17.5935	
0	29	-6.34706e-14	106.975	0.206489	-6.12679e-14	117.36	18.1935	
0	30	-6.34706e-14	106.629	0.206489	-6.11944e-14	117.36	18.7935	
0	31	-6.34706e-14	106.282	0.206489	-6.11209e-14	117.36	19.3935	
0	32	-6.34706e-14	105.936	0.206489	-6.10474e-14	117.36	19.9935	
0	33	-6.34706e-14	105.59	0.206489	-6.09739e-14	117.36	20.5935	
0	34	-6.34706e-14	105.243	0.206489	-6.09005e-14	117.36	21.1935	
0	35	-6.34706e-14	104.897	0.206489	-6.0827e-14	117.36	21.7935	
0	36	-6.34706e-14	104.55	0.206489	-6.07535e-14	117.36	22.3935	
0	37	-6.34706e-14	104.204	0.206489	-6.068e-14	117.36	22.9935	
0	38	-6.34706e-14	103.858	0.206489	-6.06066e-14	117.36	23.5935	
0	39	-6.34706e-14	103.511	0.206489	-6.05331e-14	117.36	24.1935	
0	40	-6.34706e-14	103.165	0.206489	-6.04596e-14	117.36	24.7935	
0	41	-6.34706e-14	102.818	0.206489	-6.03861e-14	117.36	25.3935	
0	42	-6.34706e-14	102.472	0.206489	-6.03127e-14	117.36	25.9935	
0	43	-6.34706e-14	102.126	0.206489	-6.02392e-14	117.36	26.5935	
0	44	-6.34706e-14	101.779	0.206489	-6.01657e-14	117.36	27.1935	
0	45	-6.34706e-14	101.433	0.206489	-6.00922e-14	117.36	27.7935	
0	46	-6.34706e-14	101.086	0.206489	-6.00188e-14	117.36	28.3935	
0	47	-6.34706e-14	100.74	0.206489	-5.99453e-14	117.36	28.9935	
0	48	-6.34706e-14	100.393	0.206489	-5.98718e-14	117.36	29.5935	
0	49	-6.34706e-14	100.047	0.206489	-5.97983e-14	117.36	30.1935	
0	50	-6.34706e-14	99.7006	0.206489	-5.97248e-14	117.36	30.7935	
0	51	-6.34706e-14	99.3542	0.206489	-5.96514e-14	117.36	31.3935	
0	52	-6.34706e-14	99.0078	0.206489	-5.95779e-14	117.36	31.9935	
0	53	-6.34706e-14	98.6614	0.206489	-5.95044e-14	117.36	32.5935	
0	54	-6.34706e-14	98.315	0.206489	-5.94309e-14	117.36	33.1935	
0	55	-6.34706e-14	97.9686	0.206489	-5.93575e-14	117.36	33.7935	
0	56	-6.34706e-14	97.6222	0.206489	-5.9284e-14	117.36	34.3935	
0	57	-6.34706e-14	97.2758	0.206489	-5.92105e-14	117.36	34.9935	
0	58	-6.34706e-14	96.9294	0.206489	-5.9137e-14	117.36	35.5935	
0	59	-6.34706e-14	96.583	0.206489	-5.90636e-14	117.36	36.1935	
0	60	-6.34706e-14	96.2365	0.206489	-5.89901e-14	117.36	36.7935	
0	61	-6.34706e-14	95.8901	0.206489	-5.89166e-14	117.36	37.3935	
0	62	-6.34706e-14	95.5437	0.206489	-5.88431e-14	117.36	37.9935	
0	63	-6.34706e-14	95.1973	0.206489	-5.87697e-14	117.36	38.5935	
0	64	-6.34706e-14	94.8509	0.206489	-5.86962e-14	117.36	39.1935	
0	65	-6.34706e-14	94.5045	0.206489	-5.86227e-14	117.36	39.7935	
0	66	-6.34706e-14	94.1581	0.206489	-5.85492e-14	117.36	40.3935	
0	67	-6.34706e-14	93.8117	0.206489	-5.84757e-14	117.36	40.9935	
0	68	-6.34706e-14	93.4653	0.206489	-5.84023e-14	117.36	41.5935	
0	69	-6.34706e-14	93.1188	0.206489	-5.83288e-14	117.36	42.1935	
0	70	-6.34706e-14	92.7724	0.206489	-5.82553e-14	117.36	42.7935	
0	71	-6.34706e-14	92.426	0.206489	-5.81818e-14	117.36	43.3935	
0	72	-6.34706e-14	92.0796	0.206489	-5.81084e-14	117.36	43.9935	
0	73	-6.34706e-14	91.7332	0.206489	-5.80349e-14	117.36	44.5935	
0	74	-6.34706e-14	91.3868	0.206489	-5.79614e-14	117.36	45.1935	
0	75	-6.34706e-14	91.0404	0.206489	-5.78879e-14	117.36	45.7935	
0	76	-6.34706e-14	90.694	0.206489	-5.78145e-14	117.36	46.3935	
0	77	-6.34706e-14	90.3476	0.206489	-5.7741e-14	117.36	46.9935	
0	78	-6.34706e-14	90.0012	0.206489	-5.76675e-14	117.36	47.5935	
0	79	-6.34706e-14	89.6547	0.206489	-5.7594e-14	117.36	48.1935	
0	80	-6.34706e-14	89.3083	0.206489	-5.75206e-14	117.36	48.7935	
0	81	-6.34706e-14	88.9619	0.206489	-5.74471e-14	117.36	49.3935	
0	82	-6.34706e-14	88.6155	0.206489	-5.73736e-14	117.36	49.9935	
0	83	-6.34706e-14	88.2691	0.206489	-5.73001e-14	117.36	50.5935	
